Celltype	Trait	Z	pvalue	FDR
CLP	HDL_cholesterol	8.4166270891434	1.93739309582419e-17	1.36004995326858e-14
Ery	Red_blood_cell_traits	7.95994125594423	8.60604886204377e-16	3.02072315057736e-13
NK	Systemic_sclerosis	6.67608915266773	1.22701358826509e-11	2.60161499269939e-09
CD8	Autoimmune_thyroiditis	6.6483085249376	1.48240170524182e-11	2.60161499269939e-09
B	HDL_cholesterol	6.31341205128503	1.36474735699619e-10	1.91610528922265e-08
CD8	Multiple_sclerosis	6.02468022932017	8.47221468391531e-10	9.91249118018091e-08
MEP	Fasting_glucose_related_traits	5.9922984505848	1.03447887765769e-09	1.03743453159385e-07
NK	Vitiligo	5.96488096846918	1.22406220205251e-09	1.07411458230108e-07
CD4	Multiple_sclerosis	5.75919936327352	4.22569187879603e-09	3.2960396654609e-07
MEP	Type_2_diabetes	5.17997755070167	1.10956302438007e-07	7.78913243114809e-06
mDC	C_reactive_protein	4.800872781442	7.89878036000458e-07	5.04085801156656e-05
B	Kawasaki_disease	4.19331486504817	1.3745372395536e-05	0.000804104285138856
pDC	Vitiligo	3.83304962477624	6.32822046004665e-05	0.00332197005309605
GMP-C	Vitiligo	3.82176443467746	6.62501150190095e-05	0.00332197005309605
NK	Multiple_sclerosis	3.77875252164604	7.88079838951471e-05	0.00348848260581646
CD4	Crohns_disease	3.77654451465891	7.95095750613439e-05	0.00348848260581646
NK	Bone_mineral_density	3.71773394700858	0.000100508902810034	0.00415042645721434
HSC	Urate_levels	3.63533544537056	0.000138809578900771	0.00541357357713007
CD4	Celiac_disease	3.59905646485185	0.000159686922712789	0.00569794102097371
B	Multiple_sclerosis	3.59477743771961	0.000162334502022043	0.00569794102097371
CD4	Autoimmune_thyroiditis	3.42137399368226	0.00031152794493197	0.0104139341591544
MPP	Urate_levels	3.32247285122382	0.000446116766800275	0.0142351804678997
CMP	Alzheimers_combined	3.05715562808242	0.00111724115055851	0.0341001429431337
CD4	Red_blood_cell_traits	3.01617865111845	0.00127991195140665	0.0374374245786445
CMP	Asthma	2.92984178274781	0.00169567315128337	0.046085399889316
CD8	Crohns_disease	2.92779655927238	0.00170686666256726	0.046085399889316
NK	Crohns_disease	2.90668820917332	0.00182638541766196	0.0469406453567361
B	Rheumatoid_arthritis	2.89891592363964	0.00187227645297523	0.0469406453567361
CMP	Platelet_counts	2.80286792758841	0.00253252032242575	0.0613044574600992
GMP-B	Atopic_dermatitis	2.78223449529703	0.00269930087459155	0.0631636404654423
Mono	C_reactive_protein	2.76852748772076	0.00281551176909609	0.0637577181259824
GMP-B	C_reactive_protein	2.75380411037632	0.00294535071653916	0.0646136313440778
CD8	Vitiligo	2.7314949877907	0.0031523849989561	0.0670598263414298
CD8	Celiac_disease	2.6220326782952	0.00437035247781658	0.0899716479814288
MEP	Systemic_sclerosis	2.61313704875691	0.00448576592500001	0.0899716479814288
Ery	Alopecia_areata	2.47503964960775	0.0066610692461673	0.129890850300262
MEP	Red_blood_cell_traits	2.42245634772103	0.00770798888072445	0.146243464709961
CD8	Ankylosing_spondylitis	2.38924312076373	0.00844156291621817	0.155946767557504
Mega	Juvenile_idiopathic_arthritis	2.34738326321066	0.00945289821500789	0.170152167870142
NK	Ankylosing_spondylitis	2.32311461677556	0.010086497979295	0.177018039536627
NK	Autoimmune_thyroiditis	2.29721909574211	0.0108031371623829	0.181969918683357
CMP	Urate_levels	2.28779005293286	0.0110748751945569	0.181969918683357
Mega	Chronic_kidney_disease	2.26973009388354	0.0116119821615477	0.181969918683357
CD8	Systemic_sclerosis	2.26964028900318	0.0116147085160097	0.181969918683357
GMP-A	Triglycerides	2.26799556887678	0.0116647383771383	0.181969918683357
GMP-A	Atopic_dermatitis	2.23801190224238	0.0126101394844698	0.192441693871691
GMP-C	C_reactive_protein	2.18590675592927	0.0144112139381472	0.215248344352752
MEP	Urate_levels	2.1473109443671	0.0158842675539991	0.232307412977237
NK	Behcets_disease	2.13839457582698	0.0162423661719024	0.232696756177051
CLP	Primary_sclerosing_cholangitis	2.08895477559272	0.0183558971739761	0.254461720432634
CLP	Kawasaki_disease	2.08606130212363	0.0184865352451059	0.254461720432634
Mega	Platelet_counts	2.05803195717452	0.0197935329078992	0.267212694256639
CD8	Red_blood_cell_traits	2.03153151971219	0.0211005527390332	0.279482792883044
B	Type_1_diabetes	2.01943686423167	0.0217209166190525	0.281910842745533
LMPP	Urate_levels	2.0124353650313	0.0220870318390375	0.281910842745533
Mono	Chronic_kidney_disease	1.87819047401863	0.030177556425628	0.373575211051286
mDC	Rheumatoid_arthritis	1.8759214998894	0.0303330299571557	0.373575211051286
CD8	Primary_biliary_cirrhosis	1.85419122404808	0.0318559035934547	0.378459676685554
GMP-B	Triglycerides	1.85324130762394	0.0319238897135039	0.378459676685554
MPP	Atopic_dermatitis	1.84736704640907	0.0323469809132952	0.378459676685554
Ery	Triglycerides	1.78678638394568	0.0369860104377586	0.408548260884937
LMPP	Primary_sclerosing_cholangitis	1.78558431529385	0.0370832941691982	0.408548260884937
LMPP	Atopic_dermatitis	1.78064061663874	0.0374855899932649	0.408548260884937
GMP-A	Ulcerative_colitis	1.77978023664817	0.0375559666123899	0.408548260884937
CD8	Bone_mineral_density	1.77646026654345	0.0378285426745312	0.408548260884937
HSC	Atopic_dermatitis	1.75927974173074	0.0392650028758756	0.411689399908895
MEP	Asthma	1.75895833129206	0.039292293153698	0.411689399908895
GMP-C	Triglycerides	1.70557426922511	0.0440436867360274	0.45357145506778
Mono	Crohns_disease	1.69982621293572	0.0445818096861493	0.45357145506778
CD4	Primary_sclerosing_cholangitis	1.69085535157257	0.0454322162493552	0.455620225814962
CD8	Behcets_disease	1.63896581991086	0.0506101891765837	0.500399335238898
GMP-B	Ulcerative_colitis	1.61241943568876	0.0534353491610804	0.520994654320534
GMP-A	Ankylosing_spondylitis	1.58436436714894	0.0565554129057121	0.540176278887296
GMP-B	Alopecia_areata	1.58097690674912	0.0569416590280056	0.540176278887296
