Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
TSPAN6	421	178	24	1	0	0	0	46	247	11	212	201	2	7	0	2
TNMD	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
DPM1	1038	1115	753	845	44	79	139	1378	2001	678	1633	1200	742	370	1079	461
SCYL3	1064	1171	807	922	74	126	186	956	921	1446	2143	1371	1538	215	658	472
C1orf112	906	887	1087	1731	261	327	541	1715	2207	594	685	548	531	435	584	1198
FGR	112	39	81	4	161	55	1293	167	108	9410	30	699	2684	210	57971	1
CFH	8179	5728	436	11	6	58	0	2052	1669	235	1008	668	1	0	36	0
FUCA2	1317	1671	1000	61	167	357	805	3341	2883	1085	494	410	328	211	4449	585
GCLC	2682	3471	2063	1206	1189	778	3405	5097	8973	3220	1986	2181	949	4241	2432	23285
NFYA	7070	7856	6303	11620	1594	1267	2701	9982	10679	5410	6102	5713	5841	5930	5854	2510
STPG1	459	706	471	192	155	146	95	527	658	150	567	506	245	260	116	792
NIPAL3	3555	3837	2553	1301	628	494	1360	3926	4481	4369	8092	5868	2073	2529	1122	1835
LAS1L	4331	6278	3382	2128	3652	3142	4059	6259	9034	2104	4366	2879	2332	3791	2981	946
ENPP4	5656	5650	1605	1042	545	821	2476	4330	2395	8568	1499	2468	2102	2526	630	794
SEMA3F	3	0	0	0	0	27	0	7	6	0	0	0	0	0	10	0
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKIB1	5426	5248	3070	5118	524	503	1381	5654	6898	8169	7920	6008	5429	1355	7290	1197
CYP51A1	60	57	20	11	14	1	1	22	50	13	24	6	33	19	17	1
KRIT1	4703	4935	3089	3971	560	286	387	4431	6061	4974	5544	4822	4404	981	2829	3755
RAD52	904	1158	806	773	159	329	643	1073	1206	867	1520	839	914	283	922	748
BAD	40	101	30	6	9	13	2	88	129	44	64	50	48	24	74	14
LAP3	4128	5133	3274	2914	1249	1632	2847	6625	7829	3245	2929	2260	1867	4608	11106	404
CD99	6850	9032	8518	6661	1984	1545	1832	7439	5828	7721	7884	5981	1717	3879	9420	666
HS3ST1	53	22	123	104	5	9	40	5	4	273	15	18	1175	619	12	0
AOC1	71	32	33	0	47	46	1	13	6	1	1	0	1	0	67	0
WNT16	5	13	8	14	0	0	0	0	0	33	28	28	467	0	0	0
HECW1	0	0	1	5	0	0	0	6	6	1	3	0	0	0	0	1
MAD1L1	191	363	239	27	77	74	208	280	471	285	576	287	284	148	489	13
LASP1	8682	11384	6616	4849	5053	7009	15173	11795	13344	24804	9606	9163	4771	20324	29228	972
SNX11	256	334	199	200	95	109	256	402	719	1018	978	620	972	239	1235	140
TMEM176A	2	14	10	0	0	24	0	5	9	4	12	3	0	0	14783	0
M6PR	4219	5121	3483	1777	2433	2760	11382	7078	6752	6063	5009	3905	2296	4135	8695	994
KLHL13	1467	2448	1182	79	168	577	244	2899	1052	40	88	79	0	902	31	0
CYP26B1	1	352	1	0	0	0	0	10	1	0	0	0	0	0	0	0
ICA1	2866	2927	1057	91	361	229	306	2619	3754	23	302	20	9	9	290	64
DBNDD1	95	99	22	0	3	1	0	76	6	23	306	80	1397	49	0	0
ALS2	6070	6552	2249	972	489	388	796	7318	4096	1512	1171	1155	895	799	1445	1494
CASP10	4230	4496	2955	1804	376	391	709	4329	7658	9506	5284	3390	1887	774	6130	412
CFLAR	10060	11416	6104	5822	3208	2831	4345	9525	10954	35444	22073	15580	13756	7615	29869	653
TFPI	15917	13336	3979	330	866	1205	1511	7525	8252	8	10	2	8	1082	38	701
NDUFAF7	563	890	650	715	100	73	94	836	1382	1022	1094	873	1056	131	779	197
RBM5	6607	7347	4996	9284	395	507	1083	7831	8684	8525	10575	8635	10535	4846	9583	3437
MTMR7	562	780	427	217	49	395	30	568	458	420	406	354	522	43	450	44
SLC7A2	36	30	38	22	4	1	3	43	67	0	0	0	4	0	2	0
ARF5	125	319	82	24	6	10	355	254	184	104	178	128	42	88	337	5
SARM1	367	311	142	12	23	11	3	286	230	147	217	147	49	5	66	0
POLDIP2	3645	4778	2844	1452	1281	1366	3801	7291	8834	1642	2582	2195	1311	3412	3397	1188
PLXND1	2877	5103	3313	448	3208	3087	4843	3352	4508	2022	288	449	10	3038	8726	2
AK2	12355	15842	11316	8709	8791	11200	17688	19513	21076	6677	5702	5002	4821	12012	10448	1519
CD38	6599	13445	11436	36180	16799	20674	29334	57878	43510	25796	4166	2078	17920	12377	2947	22
FKBP4	6978	9568	6920	2459	2177	2587	3125	12344	20267	1719	2211	1834	1763	1428	2674	780
KDM1A	13721	15902	10909	11574	3513	3381	5093	24345	30901	5171	6741	5400	4844	5980	6815	3078
RBM6	5175	5829	4486	5372	2397	2307	7772	7926	8609	6194	7809	5476	6191	6731	7926	1551
CAMKK1	83	167	7	30	7	88	265	49	44	19	113	48	206	23	278	0
RECQL	1743	2048	2213	2671	301	434	553	3148	2464	5888	4194	3864	3732	1079	2317	1691
CCDC132	1483	1793	1405	1956	75	92	171	1960	4348	2888	2808	2428	2909	307	2489	3298
HSPB6	1	4	0	0	31	23	9	9	42	0	0	0	0	2	0	0
