p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
NEUTRO_COUNT	BASO_COUNT	0.5587	0.0370	15.1179	1.2347e-51	0.0443	0.0062	1.0100	0.0060	0.2026	NA
NEUTRO_COUNT	EO_COUNT	0.2893	0.0372	7.7816	7.1601e-15	0.1624	0.0192	1.0613	0.0151	0.1337	NA
NEUTRO_COUNT	HCT	0.2356	0.0269	8.7717	1.7605e-18	0.1161	0.0135	1.0726	0.0136	0.1610	NA
NEUTRO_COUNT	HGB	0.1809	0.0265	6.8175	9.2630e-12	0.1315	0.0198	1.0678	0.0178	0.1386	NA
NEUTRO_COUNT	LYMPH_COUNT	0.4597	0.0258	17.8365	3.6831e-71	0.1725	0.0175	1.0542	0.0126	0.2388	NA
NEUTRO_COUNT	MCH	-0.0769	0.0289	-2.6574	7.8739e-03	0.2185	0.0379	1.0621	0.0307	-0.0422	NA
NEUTRO_COUNT	MCHC	-0.1827	0.0392	-4.6552	3.2372e-06	0.0585	0.0140	1.0213	0.0126	-0.0737	NA
NEUTRO_COUNT	MCV	-0.0343	0.0258	-1.3308	1.8326e-01	0.2238	0.0312	1.0735	0.0253	-0.0099	NA
NEUTRO_COUNT	MEAN_RETIC_VOL	-0.0705	0.0263	-2.6812	7.3349e-03	0.1539	0.0156	1.0759	0.0162	-0.0102	NA
NEUTRO_COUNT	MONO_COUNT	0.5234	0.0344	15.1941	3.8708e-52	0.1634	0.0211	1.0859	0.0217	0.3236	NA
NEUTRO_COUNT	MPV	0.0556	0.0224	2.4773	1.3238e-02	0.3178	0.0399	1.0632	0.0235	0.0215	NA
NEUTRO_COUNT	PLT_COUNT	0.2682	0.0363	7.3948	1.4165e-13	0.2278	0.0213	1.0792	0.0166	0.2437	NA
NEUTRO_COUNT	RBC_COUNT	0.1966	0.0275	7.1491	8.7373e-13	0.1701	0.0158	1.0829	0.0125	0.1485	NA
NEUTRO_COUNT	RETIC_COUNT	0.2689	0.0300	8.9619	3.1908e-19	0.1545	0.0152	1.0569	0.0167	0.1614	NA
NEUTRO_COUNT	WBC_COUNT	1.0478	0.0517	20.2611	2.8338e-91	0.1769	0.0197	1.0439	0.0136	0.9075	NA
