p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
PLT_COUNT	BASO_COUNT	0.2092	0.0316	6.6126	3.7765e-11	0.0443	0.0062	1.0099	0.0060	0.1008	NA
PLT_COUNT	EO_COUNT	0.1713	0.0284	6.0309	1.6308e-09	0.1624	0.0192	1.0614	0.0151	0.1180	NA
PLT_COUNT	HCT	-0.0865	0.0297	-2.9084	3.6334e-03	0.1161	0.0135	1.0726	0.0136	-0.0482	NA
PLT_COUNT	HGB	-0.1040	0.0265	-3.9197	8.8641e-05	0.1315	0.0198	1.0678	0.0178	-0.0785	NA
PLT_COUNT	LYMPH_COUNT	0.2595	0.0299	8.6838	3.8277e-18	0.1725	0.0175	1.0542	0.0126	0.1750	NA
PLT_COUNT	MCH	-0.0672	0.0449	-1.4978	1.3420e-01	0.2185	0.0379	1.0621	0.0307	-0.1137	NA
PLT_COUNT	MCHC	-0.0701	0.0427	-1.6415	1.0068e-01	0.0584	0.0140	1.0213	0.0126	-0.0929	NA
PLT_COUNT	MCV	-0.0431	0.0471	-0.9138	3.6081e-01	0.2238	0.0312	1.0735	0.0253	-0.0849	NA
PLT_COUNT	MEAN_RETIC_VOL	0.0205	0.0381	0.5390	5.8988e-01	0.1539	0.0156	1.0759	0.0162	-0.0262	NA
PLT_COUNT	MONO_COUNT	0.2564	0.0298	8.6067	7.5204e-18	0.1634	0.0211	1.0859	0.0217	0.1588	NA
PLT_COUNT	MPV	-0.6705	0.0391	-17.1417	7.2458e-66	0.3177	0.0399	1.0632	0.0235	-0.4971	NA
PLT_COUNT	NEUTRO_COUNT	0.2682	0.0363	7.3948	1.4165e-13	0.1506	0.0172	1.0356	0.0119	0.2437	NA
PLT_COUNT	RBC_COUNT	-0.0396	0.0448	-0.8857	3.7580e-01	0.1701	0.0158	1.0828	0.0125	0.0086	NA
PLT_COUNT	RETIC_COUNT	-0.0113	0.0265	-0.4248	6.7102e-01	0.1545	0.0152	1.0569	0.0167	0.0167	NA
PLT_COUNT	WBC_COUNT	0.3261	0.0371	8.7872	1.5334e-18	0.1769	0.0197	1.0438	0.0136	0.2770	NA
