p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
BASO_COUNT	EO_COUNT	0.3745	0.0425	8.8029	1.3335e-18	0.1624	0.0192	1.0613	0.0151	0.1248	NA
BASO_COUNT	HCT	0.1336	0.0352	3.7960	1.4706e-04	0.1161	0.0135	1.0726	0.0136	0.0382	NA
BASO_COUNT	HGB	0.0960	0.0338	2.8429	4.4699e-03	0.1315	0.0198	1.0678	0.0178	0.0187	NA
BASO_COUNT	LYMPH_COUNT	0.5002	0.0384	13.0199	9.4342e-39	0.1725	0.0175	1.0542	0.0126	0.2134	NA
BASO_COUNT	MCH	-0.0165	0.0339	-0.4860	6.2698e-01	0.2185	0.0379	1.0621	0.0307	-0.0119	NA
BASO_COUNT	MCHC	-0.1187	0.0543	-2.1880	2.8673e-02	0.0585	0.0140	1.0213	0.0126	-0.0590	NA
BASO_COUNT	MCV	0.0195	0.0321	0.6072	5.4371e-01	0.2238	0.0312	1.0735	0.0253	0.0179	NA
BASO_COUNT	MEAN_RETIC_VOL	-0.0398	0.0362	-1.0977	2.7232e-01	0.1539	0.0156	1.0759	0.0162	0.0134	NA
BASO_COUNT	MONO_COUNT	0.3992	0.0428	9.3334	1.0252e-20	0.1634	0.0211	1.0859	0.0217	0.1995	NA
BASO_COUNT	MPV	0.0785	0.0300	2.6182	8.8393e-03	0.3178	0.0399	1.0632	0.0235	0.0216	NA
BASO_COUNT	NEUTRO_COUNT	0.5587	0.0370	15.1179	1.2347e-51	0.1505	0.0172	1.0356	0.0119	0.2026	NA
BASO_COUNT	PLT_COUNT	0.2092	0.0316	6.6126	3.7765e-11	0.2278	0.0213	1.0792	0.0166	0.1008	NA
BASO_COUNT	RBC_COUNT	0.0815	0.0321	2.5382	1.1144e-02	0.1701	0.0158	1.0829	0.0125	0.0233	NA
BASO_COUNT	RETIC_COUNT	0.1668	0.0345	4.8324	1.3487e-06	0.1545	0.0152	1.0569	0.0167	0.0155	NA
BASO_COUNT	WBC_COUNT	0.6495	0.0369	17.6179	1.7968e-69	0.1769	0.0197	1.0439	0.0136	0.2780	NA
