p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
RBC_COUNT	BASO_COUNT	0.0815	0.0321	2.5382	1.1144e-02	0.0443	0.0062	1.0099	0.0060	0.0233	NA
RBC_COUNT	EO_COUNT	0.0952	0.0274	3.4739	5.1286e-04	0.1624	0.0192	1.0614	0.0151	0.0643	NA
RBC_COUNT	HCT	1.0002	0.0686	14.5752	4.0399e-48	0.1161	0.0135	1.0726	0.0136	0.8040	NA
RBC_COUNT	HGB	0.8921	0.0866	10.2990	7.1180e-25	0.1315	0.0198	1.0678	0.0178	0.7403	NA
RBC_COUNT	LYMPH_COUNT	0.1027	0.0259	3.9653	7.3293e-05	0.1725	0.0175	1.0542	0.0126	0.1059	NA
RBC_COUNT	MCH	-0.7420	0.0636	-11.6727	1.7578e-31	0.2185	0.0379	1.0621	0.0307	-0.5082	NA
RBC_COUNT	MCHC	-0.2556	0.0565	-4.5216	6.1372e-06	0.0584	0.0140	1.0213	0.0126	-0.1872	NA
RBC_COUNT	MCV	-0.7592	0.0507	-14.9779	1.0241e-50	0.2238	0.0312	1.0735	0.0253	-0.4742	NA
RBC_COUNT	MEAN_RETIC_VOL	-0.6049	0.0401	-15.0844	2.0505e-51	0.1539	0.0156	1.0759	0.0162	-0.3309	NA
RBC_COUNT	MONO_COUNT	0.1343	0.0251	5.3516	8.7186e-08	0.1634	0.0211	1.0859	0.0217	0.0769	NA
RBC_COUNT	MPV	0.0443	0.0226	1.9616	4.9813e-02	0.3177	0.0399	1.0632	0.0235	0.0441	NA
RBC_COUNT	NEUTRO_COUNT	0.1966	0.0275	7.1491	8.7373e-13	0.1506	0.0172	1.0356	0.0119	0.1485	NA
RBC_COUNT	PLT_COUNT	-0.0396	0.0448	-0.8857	3.7580e-01	0.2278	0.0213	1.0792	0.0166	0.0086	NA
RBC_COUNT	RETIC_COUNT	0.3080	0.0323	9.5475	1.3289e-21	0.1545	0.0152	1.0569	0.0167	0.2153	NA
RBC_COUNT	WBC_COUNT	0.1945	0.0249	7.7959	6.3943e-15	0.1769	0.0197	1.0438	0.0136	0.1609	NA
