p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
EO_COUNT	BASO_COUNT	0.3745	0.0425	8.8029	1.3335e-18	0.0443	0.0062	1.0100	0.0060	0.1248	NA
EO_COUNT	HCT	0.0884	0.0288	3.0640	2.1841e-03	0.1161	0.0135	1.0726	0.0136	0.0426	NA
EO_COUNT	HGB	0.0581	0.0297	1.9561	5.0455e-02	0.1315	0.0198	1.0678	0.0178	0.0313	NA
EO_COUNT	LYMPH_COUNT	0.3399	0.0340	9.9839	1.7931e-23	0.1725	0.0175	1.0542	0.0126	0.2492	NA
EO_COUNT	MCH	-0.0681	0.0258	-2.6374	8.3548e-03	0.2185	0.0379	1.0621	0.0307	-0.0561	NA
EO_COUNT	MCHC	-0.1038	0.0405	-2.5641	1.0346e-02	0.0585	0.0140	1.0213	0.0126	-0.0335	NA
EO_COUNT	MCV	-0.0493	0.0244	-2.0255	4.2816e-02	0.2238	0.0312	1.0735	0.0253	-0.0458	NA
EO_COUNT	MEAN_RETIC_VOL	-0.0590	0.0265	-2.2279	2.5885e-02	0.1539	0.0156	1.0759	0.0162	-0.0411	NA
EO_COUNT	MONO_COUNT	0.3690	0.0344	10.7147	8.6810e-27	0.1634	0.0211	1.0859	0.0217	0.2424	NA
EO_COUNT	MPV	0.0174	0.0205	0.8476	3.9667e-01	0.3178	0.0399	1.0632	0.0235	0.0115	NA
EO_COUNT	NEUTRO_COUNT	0.2893	0.0372	7.7816	7.1601e-15	0.1505	0.0172	1.0356	0.0119	0.1337	NA
EO_COUNT	PLT_COUNT	0.1713	0.0284	6.0309	1.6308e-09	0.2278	0.0213	1.0792	0.0166	0.1180	NA
EO_COUNT	RBC_COUNT	0.0952	0.0274	3.4739	5.1286e-04	0.1701	0.0158	1.0829	0.0125	0.0643	NA
EO_COUNT	RETIC_COUNT	0.1237	0.0321	3.8561	1.1519e-04	0.1545	0.0152	1.0569	0.0167	0.0672	NA
EO_COUNT	WBC_COUNT	0.4394	0.0346	12.7099	5.2126e-37	0.1769	0.0197	1.0439	0.0136	0.2771	NA
