p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
RETIC_COUNT	BASO_COUNT	0.1668	0.0345	4.8324	1.3487e-06	0.0444	0.0062	1.0099	0.0060	0.0155	NA
RETIC_COUNT	EO_COUNT	0.1237	0.0321	3.8561	1.1519e-04	0.1624	0.0192	1.0614	0.0151	0.0672	NA
RETIC_COUNT	HCT	0.3534	0.0305	11.5709	5.7839e-31	0.1161	0.0135	1.0726	0.0136	0.1957	NA
RETIC_COUNT	HGB	0.4359	0.0286	15.2212	2.5580e-52	0.1315	0.0198	1.0678	0.0178	0.2223	NA
RETIC_COUNT	LYMPH_COUNT	0.1965	0.0323	6.0758	1.2335e-09	0.1725	0.0175	1.0541	0.0126	0.1029	NA
RETIC_COUNT	MCH	0.0375	0.0525	0.7134	4.7560e-01	0.2186	0.0379	1.0620	0.0307	-0.0293	NA
RETIC_COUNT	MCHC	0.4027	0.0417	9.6561	4.6313e-22	0.0585	0.0140	1.0213	0.0126	0.0609	NA
RETIC_COUNT	MCV	-0.0711	0.0539	-1.3190	1.8717e-01	0.2239	0.0312	1.0735	0.0252	-0.0694	NA
RETIC_COUNT	MEAN_RETIC_VOL	-0.3190	0.0437	-7.3036	2.8022e-13	0.1539	0.0156	1.0760	0.0162	-0.2388	NA
RETIC_COUNT	MONO_COUNT	0.1570	0.0284	5.5220	3.3524e-08	0.1634	0.0211	1.0859	0.0217	0.0971	NA
RETIC_COUNT	MPV	0.0031	0.0239	0.1286	8.9770e-01	0.3177	0.0399	1.0633	0.0235	0.0131	NA
RETIC_COUNT	NEUTRO_COUNT	0.2689	0.0300	8.9619	3.1908e-19	0.1505	0.0172	1.0357	0.0120	0.1614	NA
RETIC_COUNT	PLT_COUNT	-0.0113	0.0265	-0.4248	6.7102e-01	0.2278	0.0213	1.0792	0.0166	0.0167	NA
RETIC_COUNT	RBC_COUNT	0.3080	0.0323	9.5475	1.3289e-21	0.1701	0.0158	1.0829	0.0125	0.2153	NA
RETIC_COUNT	WBC_COUNT	0.2779	0.0293	9.4981	2.1366e-21	0.1769	0.0198	1.0439	0.0137	0.1751	NA
