p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MONO_COUNT	BASO_COUNT	0.3992	0.0428	9.3334	1.0252e-20	0.0443	0.0062	1.0100	0.0060	0.1995	NA
MONO_COUNT	EO_COUNT	0.3690	0.0344	10.7147	8.6810e-27	0.1624	0.0192	1.0613	0.0151	0.2424	NA
MONO_COUNT	HCT	0.2288	0.0296	7.7341	1.0414e-14	0.1161	0.0135	1.0726	0.0136	0.1007	NA
MONO_COUNT	HGB	0.1848	0.0273	6.7795	1.2057e-11	0.1315	0.0198	1.0678	0.0178	0.0913	NA
MONO_COUNT	LYMPH_COUNT	0.5260	0.0384	13.6856	1.2385e-42	0.1725	0.0175	1.0542	0.0126	0.3561	NA
MONO_COUNT	MCH	0.0085	0.0303	0.2808	7.7883e-01	0.2185	0.0379	1.0621	0.0307	0.0054	NA
MONO_COUNT	MCHC	-0.1291	0.0583	-2.2146	2.6784e-02	0.0585	0.0140	1.0213	0.0126	-0.0339	NA
MONO_COUNT	MCV	0.0493	0.0273	1.8069	7.0771e-02	0.2238	0.0312	1.0735	0.0253	0.0224	NA
MONO_COUNT	MEAN_RETIC_VOL	0.0180	0.0297	0.6064	5.4428e-01	0.1539	0.0156	1.0759	0.0162	0.0058	NA
MONO_COUNT	MPV	0.0351	0.0189	1.8554	6.3545e-02	0.3178	0.0399	1.0632	0.0235	0.0310	NA
MONO_COUNT	NEUTRO_COUNT	0.5234	0.0344	15.1941	3.8708e-52	0.1505	0.0172	1.0356	0.0119	0.3236	NA
MONO_COUNT	PLT_COUNT	0.2564	0.0298	8.6067	7.5204e-18	0.2278	0.0213	1.0792	0.0166	0.1588	NA
MONO_COUNT	RBC_COUNT	0.1343	0.0251	5.3516	8.7186e-08	0.1701	0.0158	1.0829	0.0125	0.0769	NA
MONO_COUNT	RETIC_COUNT	0.1570	0.0284	5.5220	3.3524e-08	0.1545	0.0152	1.0569	0.0167	0.0971	NA
MONO_COUNT	WBC_COUNT	0.7025	0.0413	17.0121	6.6743e-65	0.1769	0.0197	1.0439	0.0136	0.4925	NA
