p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MCH	BASO_COUNT	-0.0165	0.0339	-0.4860	6.2698e-01	0.0444	0.0062	1.0099	0.0060	-0.0119	NA
MCH	EO_COUNT	-0.0681	0.0258	-2.6374	8.3548e-03	0.1623	0.0192	1.0614	0.0151	-0.0561	NA
MCH	HCT	0.0168	0.0762	0.2203	8.2562e-01	0.1156	0.0134	1.0727	0.0136	0.0109	NA
MCH	HGB	0.1745	0.0777	2.2470	2.4641e-02	0.1312	0.0197	1.0679	0.0178	0.1855	NA
MCH	LYMPH_COUNT	-0.0100	0.0243	-0.4133	6.7940e-01	0.1724	0.0175	1.0542	0.0126	-0.0043	NA
MCH	MCHC	0.6168	0.0513	12.0305	2.4565e-33	0.0580	0.0139	1.0214	0.0125	0.4917	NA
MCH	MCV	1.1338	0.1038	10.9280	8.4724e-28	0.2209	0.0305	1.0747	0.0254	0.8776	NA
MCH	MEAN_RETIC_VOL	0.7393	0.0829	8.9172	4.7814e-19	0.1535	0.0156	1.0760	0.0162	0.4458	NA
MCH	MONO_COUNT	0.0085	0.0303	0.2808	7.7883e-01	0.1633	0.0211	1.0860	0.0217	0.0054	NA
MCH	MPV	-0.0429	0.0287	-1.4952	1.3485e-01	0.3177	0.0399	1.0632	0.0235	-0.0386	NA
MCH	NEUTRO_COUNT	-0.0769	0.0289	-2.6574	7.8739e-03	0.1505	0.0172	1.0356	0.0120	-0.0422	NA
MCH	PLT_COUNT	-0.0672	0.0449	-1.4978	1.3420e-01	0.2266	0.0211	1.0797	0.0167	-0.1137	NA
MCH	RBC_COUNT	-0.7420	0.0636	-11.6727	1.7578e-31	0.1675	0.0145	1.0838	0.0127	-0.5082	NA
MCH	RETIC_COUNT	0.0375	0.0525	0.7134	4.7560e-01	0.1544	0.0152	1.0569	0.0167	-0.0293	NA
MCH	WBC_COUNT	-0.0641	0.0288	-2.2242	2.6133e-02	0.1768	0.0197	1.0439	0.0136	-0.0376	NA
