p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MPV	BASO_COUNT	0.0785	0.0300	2.6182	8.8393e-03	0.0444	0.0062	1.0100	0.0060	0.0216	NA
MPV	EO_COUNT	0.0174	0.0205	0.8476	3.9667e-01	0.1624	0.0192	1.0614	0.0151	0.0115	NA
MPV	HCT	0.0610	0.0185	3.2979	9.7416e-04	0.1161	0.0135	1.0726	0.0136	0.0396	NA
MPV	HGB	0.0151	0.0187	0.8090	4.1852e-01	0.1315	0.0198	1.0678	0.0178	0.0205	NA
MPV	LYMPH_COUNT	0.0147	0.0191	0.7701	4.4126e-01	0.1724	0.0175	1.0541	0.0126	0.0026	NA
MPV	MCH	-0.0429	0.0287	-1.4952	1.3485e-01	0.2185	0.0379	1.0620	0.0307	-0.0386	NA
MPV	MCHC	-0.1716	0.0440	-3.9014	9.5619e-05	0.0584	0.0140	1.0213	0.0126	-0.0551	NA
MPV	MCV	0.0032	0.0257	0.1241	9.0120e-01	0.2238	0.0312	1.0735	0.0253	-0.0136	NA
MPV	MEAN_RETIC_VOL	-0.0525	0.0267	-1.9658	4.9320e-02	0.1539	0.0156	1.0759	0.0162	-0.0312	NA
MPV	MONO_COUNT	0.0351	0.0189	1.8554	6.3545e-02	0.1634	0.0211	1.0859	0.0217	0.0310	NA
MPV	NEUTRO_COUNT	0.0556	0.0224	2.4773	1.3238e-02	0.1505	0.0172	1.0356	0.0119	0.0215	NA
MPV	PLT_COUNT	-0.6705	0.0391	-17.1417	7.2458e-66	0.2261	0.0211	1.0780	0.0164	-0.4971	NA
MPV	RBC_COUNT	0.0443	0.0226	1.9616	4.9813e-02	0.1701	0.0158	1.0828	0.0125	0.0441	NA
MPV	RETIC_COUNT	0.0031	0.0239	0.1286	8.9770e-01	0.1545	0.0152	1.0568	0.0167	0.0131	NA
MPV	WBC_COUNT	0.0462	0.0215	2.1490	3.1632e-02	0.1769	0.0197	1.0438	0.0136	0.0202	NA
