p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
HGB	BASO_COUNT	0.0960	0.0338	2.8429	4.4699e-03	0.0444	0.0062	1.0099	0.0060	0.0187	NA
HGB	EO_COUNT	0.0581	0.0297	1.9561	5.0455e-02	0.1624	0.0192	1.0614	0.0151	0.0313	NA
HGB	HCT	1.2632	0.1077	11.7279	9.1685e-32	0.1161	0.0135	1.0726	0.0136	0.9312	NA
HGB	LYMPH_COUNT	0.1219	0.0265	4.5968	4.2903e-06	0.1725	0.0175	1.0541	0.0126	0.1181	NA
HGB	MCH	0.1745	0.0777	2.2470	2.4641e-02	0.2185	0.0379	1.0621	0.0307	0.1855	NA
HGB	MCHC	0.2761	0.0820	3.3667	7.6072e-04	0.0584	0.0140	1.0213	0.0126	0.1731	NA
HGB	MCV	0.1116	0.0727	1.5343	1.2496e-01	0.2238	0.0312	1.0735	0.0253	0.1332	NA
HGB	MEAN_RETIC_VOL	-0.0747	0.0298	-2.5067	1.2187e-02	0.1539	0.0156	1.0759	0.0162	-0.0372	NA
HGB	MONO_COUNT	0.1848	0.0273	6.7795	1.2057e-11	0.1634	0.0211	1.0859	0.0217	0.0913	NA
HGB	MPV	0.0151	0.0187	0.8090	4.1852e-01	0.3177	0.0399	1.0632	0.0235	0.0205	NA
HGB	NEUTRO_COUNT	0.1809	0.0265	6.8175	9.2630e-12	0.1506	0.0172	1.0356	0.0119	0.1386	NA
HGB	PLT_COUNT	-0.1040	0.0265	-3.9197	8.8641e-05	0.2278	0.0213	1.0792	0.0166	-0.0785	NA
HGB	RBC_COUNT	0.8921	0.0866	10.2990	7.1180e-25	0.1701	0.0158	1.0828	0.0125	0.7403	NA
HGB	RETIC_COUNT	0.4359	0.0286	15.2212	2.5580e-52	0.1545	0.0152	1.0569	0.0167	0.2223	NA
HGB	WBC_COUNT	0.1890	0.0246	7.6966	1.3970e-14	0.1769	0.0197	1.0438	0.0136	0.1561	NA
