p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MEAN_RETIC_VOL	BASO_COUNT	-0.0398	0.0362	-1.0977	2.7232e-01	0.0444	0.0062	1.0099	0.0060	0.0134	NA
MEAN_RETIC_VOL	EO_COUNT	-0.0590	0.0265	-2.2279	2.5885e-02	0.1624	0.0192	1.0614	0.0151	-0.0411	NA
MEAN_RETIC_VOL	HCT	-0.0437	0.0323	-1.3527	1.7614e-01	0.1161	0.0135	1.0726	0.0136	-0.0262	NA
MEAN_RETIC_VOL	HGB	-0.0747	0.0298	-2.5067	1.2187e-02	0.1315	0.0198	1.0678	0.0178	-0.0372	NA
MEAN_RETIC_VOL	LYMPH_COUNT	0.0381	0.0323	1.1780	2.3878e-01	0.1725	0.0175	1.0541	0.0126	-0.0286	NA
MEAN_RETIC_VOL	MCH	0.7393	0.0829	8.9172	4.7814e-19	0.2186	0.0379	1.0620	0.0307	0.4458	NA
MEAN_RETIC_VOL	MCHC	-0.1429	0.0579	-2.4693	1.3538e-02	0.0585	0.0140	1.0213	0.0126	-0.0285	NA
MEAN_RETIC_VOL	MCV	0.8768	0.0767	11.4349	2.7971e-30	0.2239	0.0312	1.0735	0.0252	0.5216	NA
MEAN_RETIC_VOL	MONO_COUNT	0.0180	0.0297	0.6064	5.4428e-01	0.1634	0.0211	1.0859	0.0217	0.0058	NA
MEAN_RETIC_VOL	MPV	-0.0525	0.0267	-1.9658	4.9320e-02	0.3177	0.0399	1.0633	0.0235	-0.0312	NA
MEAN_RETIC_VOL	NEUTRO_COUNT	-0.0705	0.0263	-2.6812	7.3349e-03	0.1505	0.0172	1.0357	0.0120	-0.0102	NA
MEAN_RETIC_VOL	PLT_COUNT	0.0205	0.0381	0.5390	5.8988e-01	0.2278	0.0213	1.0792	0.0166	-0.0262	NA
MEAN_RETIC_VOL	RBC_COUNT	-0.6049	0.0401	-15.0844	2.0505e-51	0.1701	0.0158	1.0829	0.0125	-0.3309	NA
MEAN_RETIC_VOL	RETIC_COUNT	-0.3190	0.0437	-7.3036	2.8022e-13	0.1545	0.0152	1.0568	0.0167	-0.2388	NA
MEAN_RETIC_VOL	WBC_COUNT	-0.0335	0.0280	-1.1975	2.3112e-01	0.1769	0.0198	1.0439	0.0137	-0.0160	NA
