Celltype	Trait	Z	pvalue
CLP	HDL_cholesterol	8.4166270891434	1.93739309582419e-17
Ery	Red_blood_cell_traits	7.95994125594423	8.60604886204377e-16
NK	Systemic_sclerosis	6.67608915266773	1.22701358826509e-11
CD8	Autoimmune_thyroiditis	6.6483085249376	1.48240170524182e-11
B	HDL_cholesterol	6.31341205128503	1.36474735699619e-10
CD8	Multiple_sclerosis	6.02468022932017	8.47221468391531e-10
MEP	Fasting_glucose_related_traits	5.9922984505848	1.03447887765769e-09
NK	Vitiligo	5.96488096846918	1.22406220205251e-09
CD4	Multiple_sclerosis	5.75919936327352	4.22569187879603e-09
MEP	Type_2_diabetes	5.17997755070167	1.10956302438007e-07
mDC	C_reactive_protein	4.800872781442	7.89878036000458e-07
B	Kawasaki_disease	4.19331486504817	1.3745372395536e-05
pDC	Vitiligo	3.83304962477624	6.32822046004665e-05
GMP-C	Vitiligo	3.82176443467746	6.62501150190095e-05
NK	Multiple_sclerosis	3.77875252164604	7.88079838951471e-05
CD4	Crohns_disease	3.77654451465891	7.95095750613439e-05
NK	Bone_mineral_density	3.71773394700858	0.000100508902810034
HSC	Urate_levels	3.63533544537056	0.000138809578900771
CD4	Celiac_disease	3.59905646485185	0.000159686922712789
B	Multiple_sclerosis	3.59477743771961	0.000162334502022043
CD4	Autoimmune_thyroiditis	3.42137399368226	0.00031152794493197
MPP	Urate_levels	3.32247285122382	0.000446116766800275
CMP	Alzheimers_combined	3.05715562808242	0.00111724115055851
CD4	Red_blood_cell_traits	3.01617865111845	0.00127991195140665
CMP	Asthma	2.92984178274781	0.00169567315128337
CD8	Crohns_disease	2.92779655927238	0.00170686666256726
NK	Crohns_disease	2.90668820917332	0.00182638541766196
B	Rheumatoid_arthritis	2.89891592363964	0.00187227645297523
CMP	Platelet_counts	2.80286792758841	0.00253252032242575
GMP-B	Atopic_dermatitis	2.78223449529703	0.00269930087459155
Mono	C_reactive_protein	2.76852748772076	0.00281551176909609
GMP-B	C_reactive_protein	2.75380411037632	0.00294535071653916
CD8	Vitiligo	2.7314949877907	0.0031523849989561
CD8	Celiac_disease	2.6220326782952	0.00437035247781658
MEP	Systemic_sclerosis	2.61313704875691	0.00448576592500001
Ery	Alopecia_areata	2.47503964960775	0.0066610692461673
MEP	Red_blood_cell_traits	2.42245634772103	0.00770798888072445
CD8	Ankylosing_spondylitis	2.38924312076373	0.00844156291621817
Mega	Juvenile_idiopathic_arthritis	2.34738326321066	0.00945289821500789
NK	Ankylosing_spondylitis	2.32311461677556	0.010086497979295
NK	Autoimmune_thyroiditis	2.29721909574211	0.0108031371623829
CMP	Urate_levels	2.28779005293286	0.0110748751945569
Mega	Chronic_kidney_disease	2.26973009388354	0.0116119821615477
CD8	Systemic_sclerosis	2.26964028900318	0.0116147085160097
GMP-A	Triglycerides	2.26799556887678	0.0116647383771383
GMP-A	Atopic_dermatitis	2.23801190224238	0.0126101394844698
GMP-C	C_reactive_protein	2.18590675592927	0.0144112139381472
MEP	Urate_levels	2.1473109443671	0.0158842675539991
NK	Behcets_disease	2.13839457582698	0.0162423661719024
CLP	Primary_sclerosing_cholangitis	2.08895477559272	0.0183558971739761
CLP	Kawasaki_disease	2.08606130212363	0.0184865352451059
Mega	Platelet_counts	2.05803195717452	0.0197935329078992
CD8	Red_blood_cell_traits	2.03153151971219	0.0211005527390332
B	Type_1_diabetes	2.01943686423167	0.0217209166190525
LMPP	Urate_levels	2.0124353650313	0.0220870318390375
Mono	Chronic_kidney_disease	1.87819047401863	0.030177556425628
mDC	Rheumatoid_arthritis	1.8759214998894	0.0303330299571557
CD8	Primary_biliary_cirrhosis	1.85419122404808	0.0318559035934547
GMP-B	Triglycerides	1.85324130762394	0.0319238897135039
MPP	Atopic_dermatitis	1.84736704640907	0.0323469809132952
Ery	Triglycerides	1.78678638394568	0.0369860104377586
LMPP	Primary_sclerosing_cholangitis	1.78558431529385	0.0370832941691982
LMPP	Atopic_dermatitis	1.78064061663874	0.0374855899932649
GMP-A	Ulcerative_colitis	1.77978023664817	0.0375559666123899
CD8	Bone_mineral_density	1.77646026654345	0.0378285426745312
HSC	Atopic_dermatitis	1.75927974173074	0.0392650028758756
MEP	Asthma	1.75895833129206	0.039292293153698
GMP-C	Triglycerides	1.70557426922511	0.0440436867360274
Mono	Crohns_disease	1.69982621293572	0.0445818096861493
CD4	Primary_sclerosing_cholangitis	1.69085535157257	0.0454322162493552
CD8	Behcets_disease	1.63896581991086	0.0506101891765837
GMP-B	Ulcerative_colitis	1.61241943568876	0.0534353491610804
GMP-A	Ankylosing_spondylitis	1.58436436714894	0.0565554129057121
GMP-B	Alopecia_areata	1.58097690674912	0.0569416590280056
CD8	Ulcerative_colitis	1.56485760496015	0.0588081505947382
mDC	Celiac_disease	1.55940275910699	0.0594505418433497
GMP-C	Atopic_dermatitis	1.54692528884878	0.0609406311036194
GMP-A	Type_1_diabetes	1.529207541471	0.0631065008130924
mDC	Triglycerides	1.51404850617462	0.0650067687255756
CMP	Allergy	1.49518501531428	0.0674330815768464
mDC	HDL_cholesterol	1.49128548520217	0.0679432790384707
MEP	Triglycerides	1.49061857607857	0.068030832211519
GMP-B	Primary_sclerosing_cholangitis	1.48932591524375	0.0682007833442078
B	Celiac_disease	1.45596615787253	0.0727009875890634
GMP-C	Alopecia_areata	1.45354268918302	0.0730365680190066
NK	Primary_biliary_cirrhosis	1.42810868561899	0.0766302889538587
MEP	Platelet_counts	1.41784141638975	0.0781185346797836
Mono	Celiac_disease	1.389536714749	0.0823348022991153
mDC	Ulcerative_colitis	1.38690592910338	0.0827352248312712
GMP-A	C_reactive_protein	1.36095775782737	0.0867635195908658
Mono	Ulcerative_colitis	1.35927682657019	0.087029442188781
B	Autoimmune_thyroiditis	1.3519984596998	0.0881879040137758
NK	Liver_enzyme_levels_gamma_glutamyl_transferase	1.35136825108137	0.0882887493923703
GMP-A	Renal_function_related_traits_BUN	1.34043166905717	0.0900525227697334
Mega	Kawasaki_disease	1.33425447300579	0.0910602362976226
pDC	Rheumatoid_arthritis	1.30534443999164	0.0958877940357003
MPP	Platelet_counts	1.30253074694347	0.0963675071398074
Mono	Asthma	1.29332778905943	0.0979488566959322
GMP-A	Migraine	1.28377038122766	0.0996111549756532
GMP-A	Primary_biliary_cirrhosis	1.28298888550676	0.0997479850080201
B	Psoriasis	1.26529792773375	0.102882274574796
GMP-C	Type_1_diabetes	1.26396397078649	0.103121479531736
Mono	HDL_cholesterol	1.24421608137786	0.106710023342557
mDC	Type_1_diabetes	1.23659899718291	0.108117996202602
LMPP	Restless_legs_syndrome	1.23422199907549	0.108560096030874
CD4	Ulcerative_colitis	1.22596609314706	0.110105717472835
B	Triglycerides	1.21179261670173	0.112795887645934
GMP-C	Ulcerative_colitis	1.2072587319679	0.113666259111989
B	Vitiligo	1.20328304377533	0.114433404203215
LMPP	Primary_biliary_cirrhosis	1.19764908288771	0.115526829663705
pDC	Multiple_sclerosis	1.18397577713413	0.118211325791352
mDC	Multiple_sclerosis	1.17294098105603	0.120409737004347
Ery	Liver_enzyme_levels_gamma_glutamyl_transferase	1.16424706081325	0.12216195179787
CD4	Primary_biliary_cirrhosis	1.14997575551944	0.125076928524616
GMP-C	Rheumatoid_arthritis	1.14236386080097	0.126651403279843
GMP-C	Celiac_disease	1.14201225961378	0.126724461906834
Mono	Type_1_diabetes	1.13617952511551	0.127940718885207
GMP-C	Primary_sclerosing_cholangitis	1.11590115911004	0.132232222804925
GMP-B	Ankylosing_spondylitis	1.11145400634351	0.133186488489747
MEP	Allergy	1.10542086322542	0.134488633824571
MPP	Migraine	1.10040029281594	0.135578875483561
mDC	Behcets_disease	1.09469685776766	0.136824732849109
CD4	Liver_enzyme_levels_gamma_glutamyl_transferase	1.08590148813843	0.138761289233934
HSC	Psoriasis	1.07824244609203	0.140462787047856
MPP	Progressive_supranuclear_palsy	1.07733607669318	0.14066507528043
LMPP	Rheumatoid_arthritis	1.07221983338263	0.141810652063706
GMP-B	Renal_function_related_traits_BUN	1.07085981150295	0.142116234245294
GMP-B	Type_1_diabetes	1.06379938907371	0.143709794077702
CD4	Ankylosing_spondylitis	1.05459157270467	0.145806079836996
CD4	Psoriasis	1.05439224068667	0.145851686633108
GMP-A	Primary_sclerosing_cholangitis	1.04804487448097	0.147308966176846
mDC	Ankylosing_spondylitis	1.04631339735612	0.147708180953768
Mono	Behcets_disease	1.04412334865751	0.148214162308886
LMPP	Alzheimers_combined	1.03983566183577	0.14920812885661
MEP	LDL_cholesterol	1.03962708441791	0.149256594302291
LMPP	Psoriasis	1.03231237523539	0.150962902805332
CD4	Type_1_diabetes	1.01588552495345	0.154841951313583
CD8	Type_1_diabetes	1.00551355987076	0.157324811711694
CLP	Asthma	0.972752271623707	0.16533821954888
GMP-A	Alopecia_areata	0.957489536390481	0.169160112640557
Mono	Atopic_dermatitis	0.953003918746865	0.170294042597892
B	Ulcerative_colitis	0.952128784593081	0.170515836222337
CMP	Restless_legs_syndrome	0.945435760279163	0.172218226343223
pDC	Celiac_disease	0.945346515317761	0.172240999083738
GMP-C	Ankylosing_spondylitis	0.942570174243256	0.172950400779676
mDC	Juvenile_idiopathic_arthritis	0.929287043957459	0.176370173882865
GMP-B	Vitiligo	0.927503324823601	0.176832633160102
Mono	Multiple_sclerosis	0.911243730206411	0.181083483713073
mDC	Alzheimers_combined	0.910848688472122	0.181187552311677
mDC	Creatinine_levels	0.904259762110895	0.182928838846304
Mono	Juvenile_idiopathic_arthritis	0.861186328954867	0.194567714161052
GMP-B	Rheumatoid_arthritis	0.85169151531305	0.197192665528289
pDC	Primary_sclerosing_cholangitis	0.84363851691111	0.199435717017634
GMP-A	Crohns_disease	0.836855964359583	0.201336767662298
CLP	Type_1_diabetes	0.819012634310151	0.206389602622089
