Trait	Roadmap_ID	gchromVAR_zscore	pvalue	FDR
MCH	E123	13.61458998	1.64E-42	1.39E-39
MEAN_RETIC_VOL	E123	13.50093793	7.72E-42	3.27E-39
MCV	E123	12.41479719	1.09E-35	3.07E-33
PLT_COUNT	E050	10.93938197	3.74E-28	7.92E-26
RBC_COUNT	E123	8.974420967	1.42E-19	2.42E-17
PLT_COUNT	E123	8.89978734	2.80E-19	3.95E-17
PLT_COUNT	E051	8.587563577	4.44E-18	5.38E-16
RETIC_COUNT	E123	8.041704483	4.43E-16	4.70E-14
MPV	E050	7.869505034	1.78E-15	1.68E-13
MPV	E051	7.290301086	1.55E-13	1.31E-11
LYMPH_COUNT	E034	7.208756283	2.82E-13	2.18E-11
MONO_COUNT	E124	7.159962276	4.03E-13	2.85E-11
MONO_COUNT	E029	7.066317183	7.95E-13	5.19E-11
LYMPH_COUNT	E046	6.544792878	2.98E-11	1.80E-09
MONO_COUNT	E116	5.810533083	3.11E-09	1.76E-07
LYMPH_COUNT	E033	5.645102794	8.25E-09	4.37E-07
MCHC	E123	5.558796622	1.36E-08	6.78E-07
MCV	E050	5.463220303	2.34E-08	1.10E-06
EO_COUNT	E046	5.385152792	3.62E-08	1.54E-06
HGB	E123	5.383973224	3.64E-08	1.54E-06
EO_COUNT	E124	5.054866277	2.15E-07	8.70E-06
EO_COUNT	E034	5.028643472	2.47E-07	9.52E-06
LYMPH_COUNT	E116	4.862839308	5.79E-07	2.13E-05
MCH	E050	4.820937207	7.14E-07	2.52E-05
EO_COUNT	E051	4.662248019	1.56E-06	5.20E-05
LYMPH_COUNT	E093	4.658358338	1.59E-06	5.20E-05
EO_COUNT	E029	4.537449221	2.85E-06	8.94E-05
HGB	E097	4.515019718	3.17E-06	9.33E-05
MCV	E051	4.513438351	3.19E-06	9.33E-05
MONO_COUNT	E050	4.424192907	4.84E-06	0.000136816
MPV	E046	4.272520225	9.66E-06	0.000264352
EO_COUNT	E116	4.244633285	1.09E-05	0.00029011
MCHC	E093	4.016869643	2.95E-05	0.000757756
HCT	E032	3.945224143	3.99E-05	0.000994222
LYMPH_COUNT	E032	3.92364553	4.36E-05	0.001056596
