chr19	58864865	-	A1BG
chr19	58859117	+	A1BG-AS1
chr12	9217773	+	A2M-AS1
chr12	53718648	-	AAAS
chr12	125549925	+	AACS
chr4	171012850	-	AADAT
chr9	99417585	-	AAED1
chr15	67547533	-	AAGAB
chr2	69901481	-	AAK1
chr11	77532155	+	AAMDC
chr2	219134980	-	AAMP
chr20	34824381	+	AAR2
chr16	70323446	-	AARS
chr6	44281063	-	AARS2
chr17	41116515	-	AARSD1
chr4	57253666	-	AASDH
chr11	105946228	+	AASDHPPT
chr7	121784334	-	AASS
chr17	35306175	+	AATF
chr17	79139877	-	AATK
chr16	8768422	+	ABAT
chr9	107690518	-	ABCA1
chr7	48211055	+	ABCA13
chr9	139923367	-	ABCA2
chr17	67323385	-	ABCA5
chr19	1040102	+	ABCA7
chr7	87342611	-	ABCB1
chr1	229694442	-	ABCB10
chrX	74376567	-	ABCB7
chr7	150725510	+	ABCB8
chr12	123466196	-	ABCB9
chr16	16043434	+	ABCC1
chr6	43395104	+	ABCC10
chr13	95953687	-	ABCC4
chr3	183735803	-	ABCC5
chr16	16317379	-	ABCC6
chrX	152990323	+	ABCD1
chr1	94883933	+	ABCD3
chr14	74769759	-	ABCD4
chr4	146019084	+	ABCE1
chr6	30539153	+	ABCF1
chr7	150924316	-	ABCF2
chr3	183903811	+	ABCF3
chr21	43619799	+	ABCG1
chr4	89152474	-	ABCG2
chr2	27346682	+	ABHD1
chr3	111697857	+	ABHD10
chr7	73153197	-	ABHD11
chr20	25371619	-	ABHD12
chr13	108870727	+	ABHD13
chr3	52005442	+	ABHD14A
chr3	52017425	-	ABHD14B
chr17	27894155	-	ABHD15
chr6	31671221	-	ABHD16A
chr19	1885546	-	ABHD17A
chr9	74525847	-	ABHD17B
chr15	80972025	+	ABHD17C
chr15	89630690	+	ABHD2
chr18	19284766	-	ABHD3
chr14	23067146	+	ABHD4
chr3	43731605	+	ABHD5
chr3	58223233	+	ABHD6
chr19	17421045	-	ABHD8
chr10	27150016	-	ABI1
chr2	204192942	+	ABI2
chr17	47287589	+	ABI3
chr9	133589333	+	ABL1
chr1	179198819	-	ABL2
chr10	116444762	-	ABLIM1
chr17	1132315	-	ABR
chr6	139349819	+	ABRACL
chr6	26597180	+	ABT1
chr3	127391778	+	ABTB1
chr17	43238877	-	AC002117.1
chr16	30546073	+	AC002310.12
chr7	92465797	+	AC002454.1
chr7	107385026	-	AC002467.7
chr7	17338981	-	AC003075.4
chr17	46018776	-	AC003665.1
chr4	106061776	-	AC004069.2
chr16	72698908	-	AC004158.2
chr19	15346819	-	AC004257.3
chr16	20817751	+	AC004381.6
chr22	19158908	+	AC004463.6
