Description	File	wget command	Dropbox address
List of variants included in the analysis	variants.tsv	wget https://www.dropbox.com/s/ehnp53rfqmp6xjg/variants.tsv?dl=0 -O variants.tsv	https://www.dropbox.com/s/ehnp53rfqmp6xjg/variants.tsv?dl=0
All partioned heritability results	ukbb_all_h2part_results.txt.gz	wget https://www.dropbox.com/s/5ocbe54p4grmadx/ukbb_all_h2part_results.txt.gz?dl=0 -O ukbb_all_h2part_results.txt.gz	https://www.dropbox.com/s/5ocbe54p4grmadx/ukbb_all_h2part_results.txt.gz?dl=0
All univariate heritability results	ukbb_all_h2univar_results.txt.gz	wget https://www.dropbox.com/s/mc0maiaykzn2qbm/ukbb_all_h2univar_results.txt.gz?dl=0 -O ukbb_all_h2univar_results.txt.gz	https://www.dropbox.com/s/mc0maiaykzn2qbm/ukbb_all_h2univar_results.txt.gz?dl=0
Description of phenotypes acquired under application 111898 and 18597	phenosummary_final_11898_18597.tsv	wget https://www.dropbox.com/s/oe5q85454vhc3hi/phenosummary_final_11898_18597.tsv?dl=0  -O phenosummary_final_11898_18597.tsv	https://www.dropbox.com/s/oe5q85454vhc3hi/phenosummary_final_11898_18597.tsv?dl=0
Duration of strenuous sports	1001.assoc.tsv.gz	wget https://www.dropbox.com/s/gajw23nukbv6uko/1001.assoc.tsv.gz?dl=0 -O 1001.assoc.tsv.gz	https://www.dropbox.com/s/gajw23nukbv6uko/1001.assoc.tsv.gz?dl=0
Snoring	1210.assoc.tsv.gz	wget https://www.dropbox.com/s/ll9o0k40tvo4jju/1210.assoc.tsv.gz?dl=0 -O 1210.assoc.tsv.gz	https://www.dropbox.com/s/ll9o0k40tvo4jju/1210.assoc.tsv.gz?dl=0
Current tobacco smoking	1239.assoc.tsv.gz	wget https://www.dropbox.com/s/5h5cmp97w4q5plh/1239.assoc.tsv.gz?dl=0 -O 1239.assoc.tsv.gz	https://www.dropbox.com/s/5h5cmp97w4q5plh/1239.assoc.tsv.gz?dl=0
Daytime dozing / sleeping (narcolepsy)	1220.assoc.tsv.gz	wget https://www.dropbox.com/s/0trpqhos7ck0gph/1220.assoc.tsv.gz?dl=0 -O 1220.assoc.tsv.gz	https://www.dropbox.com/s/0trpqhos7ck0gph/1220.assoc.tsv.gz?dl=0
Time spent watching television (TV)	1070.assoc.tsv.gz	wget https://www.dropbox.com/s/x65dbixto5aojg4/1070.assoc.tsv.gz?dl=0 -O 1070.assoc.tsv.gz	https://www.dropbox.com/s/x65dbixto5aojg4/1070.assoc.tsv.gz?dl=0
Time spent driving	1090.assoc.tsv.gz	wget https://www.dropbox.com/s/18opftaex38b8l1/1090.assoc.tsv.gz?dl=0 -O 1090.assoc.tsv.gz	https://www.dropbox.com/s/18opftaex38b8l1/1090.assoc.tsv.gz?dl=0
Sleep duration	1160.assoc.tsv.gz	wget https://www.dropbox.com/s/00v10oxwku3u5yq/1160.assoc.tsv.gz?dl=0 -O 1160.assoc.tsv.gz	https://www.dropbox.com/s/00v10oxwku3u5yq/1160.assoc.tsv.gz?dl=0
