Celltype	Trait	ldscore_pvalue	gchromVAR_pvalue	chromVAR_pvalue	goShifter_pvalue	panHemeLDSR_pvalue	hit_ldscore	hit_chromVAR	hit_gchromVAR	hit_goShifter	hit_panHemeLDSR	lineageSpecific
B	BASO_COUNT	0.00176379260451835	0.370414231293187	0.589044456576893	0.667559393878146	0.207650263048938	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	EO_COUNT	1.0750258283898e-05	0.0737002542868401	2.94915960724478e-10	8.22663565043011e-05	0.0677592750816618	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
B	HCT	0.018732659831597	0.324358711979496	1.96070845382888e-05	0.619471153146779	0.185570192697279	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
B	HGB	0.0242247356537748	0.53200549610855	7.82284205360857e-05	0.449109775377636	0.608319421074153	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
B	LYMPH_COUNT	2.48178287583604e-06	0.00697822427949153	7.21992506590332e-11	0.0272094378118113	0.0048437752304531	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
B	MCH	0.000716577082235276	0.990393607126147	0.00572100024344118	0.168821633267581	0.178805955290939	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	MCHC	0.439513667042444	0.666445660049528	0.0815872525634529	0.337407635382445	0.626013864561083	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	MCV	0.00036691572077619	0.969147318991601	0.0451122423407194	0.0314840935489105	0.280602406672927	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	MEAN_RETIC_VOL	0.000148674645573323	0.978705498964835	0.000622805305378026	0.0166385056408127	0.129859247079936	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
B	MONO_COUNT	0.0830295205576713	0.761760110756903	1.84552743420628e-07	0.451449914020487	0.895508504888244	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
B	MPV	0.0024978516151034	0.99987453839438	0.0267295354476525	0.00590879814121889	0.202637963212184	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	NEUTRO_COUNT	0.192387644898596	0.654662984077994	0.000841848032073386	0.824002511820436	0.676324954655914	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	PLT_COUNT	0.0100951873528437	0.986190766495489	0.173625590801705	0.13196452070725	0.848957071616842	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B	RBC_COUNT	0.136738207442304	0.746694392344362	0.00538601073754649	0.469311341402859	0.947791631576281	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
